# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	3096
#@/user_id	xiaoyi-sp9
a 	啊	c=8 d=1.17034 t=3096
deng lu 	登錄	c=3 d=0.460704 t=3096
deng zhe 	等着	c=2 d=1.26469 t=3096
di ceng 	底層	c=2 d=0.148666 t=3096
di di 	滴滴	c=0 d=0.00464212 t=3096
di di shi fu 	滴滴師傅	c=1 d=0.0466538 t=3096
di er ge zi 	第二個字	c=1 d=0.0485578 t=3096
di fang 	地方	c=2 d=0.449143 t=3096
di qu 	地區	c=1 d=0.00606634 t=3096
di san fang 	第三方	c=1 d=0.0095616 t=3096
di tie 	地鐵	c=5 d=1.1947 t=3096
di yi ci 	第一次	c=1 d=0.535261 t=3096
dian 	店	c=1 d=0.00559994 t=3096
dian 	電	c=1 d=0.00562801 t=3096
dian 	點	c=6 d=1.60425 t=3096
dian dian 	點點	c=1 d=0.318224 t=3096
dian liang 	點亮	c=1 d=0.13466 t=3096
dian nao 	電腦	c=1 d=0.909373 t=3096
dian xin 	電信	c=1 d=0.00767337 t=3096
diao 	掉	c=1 d=0.554327 t=3096
diao dian 	掉電	c=3 d=0.0253662 t=3096
diao xia lai 	掉下來	c=1 d=0.0780817 t=3096
ding tian 	頂天	c=1 d=0.878095 t=3096
dong 	懂	c=1 d=0.193013 t=3096
dong jing 	動靜	c=2 d=0.946775 t=3096
dong jing 	東京	c=1 d=0.0361528 t=3096
dong tian 	冬天	c=1 d=0.0401553 t=3096
dong wu 	動物	c=1 d=0.579842 t=3096
dong xi 	東西	c=23 d=5.26428 t=3096
dou 	都	c=13 d=1.38231 t=3096
dou dou 	痘痘	c=2 d=0.752014 t=3096
dou hao 	逗號	c=13 d=6.0764 t=3096
dou jiang 	豆漿	c=1 d=0.113042 t=3096
dou shi 	都是	c=5 d=0.852144 t=3096
dou yin 	抖音	c=3 d=1.00465 t=3096
du 	堵	c=1 d=0.99005 t=3096
du chu lai 	讀出來	c=1 d=0.128093 t=3096
du qi 	肚臍	c=2 d=0.592726 t=3096
du qi 	賭氣	c=1 d=0.0459593 t=3096
du zi 	肚子	c=1 d=0.311923 t=3096
duan 	短	c=1 d=0.0561348 t=3096
dui 	對	c=7 d=1.87512 t=3096
dui xiang 	對象	c=2 d=0.851086 t=3096
duo 	多	c=7 d=0.658661 t=3096
duo duo 	躲躲	c=3 d=1.90856 t=3096
duo er 	多爾	c=1 d=0.0437178 t=3096
duo fen 	多份	c=1 d=0.965605 t=3096
duo ge 	多個	c=1 d=0.955997 t=3096
duo jin 	多金	c=2 d=0.203966 t=3096
duo jin 	奪金	c=1 d=0.0792617 t=3096
duo nian 	多年	c=1 d=0.118837 t=3096
duo shao 	多少	c=1 d=0.0366992 t=3096
e 	額	c=3 d=0.0697526 t=3096
e 	餓	c=3 d=0.309989 t=3096
e e 	哦哦	c=2 d=0.0386865 t=3096
e wai 	額外	c=1 d=0.0699482 t=3096
ei ei 	欸欸	c=1 d=0.339596 t=3096
en en 	嗯嗯	c=10 d=3.42057 t=3096
eng 	嗯	c=1 d=0.179066 t=3096
er qie 	而且	c=8 d=1.00547 t=3096
er zi 	兒子	c=1 d=0.0330412 t=3096
fa 	法	c=2 d=0.117068 t=3096
fa 	發	c=1 d=0.0599047 t=3096
fa bu 	發佈	c=1 d=0.806541 t=3096
fa song 	發送	c=1 d=0.83527 t=3096
fa xian 	發現	c=2 d=0.822835 t=3096
fan 	反	c=1 d=0.609571 t=3096
fan 	飯	c=1 d=0.429557 t=3096
fan er 	反而	c=2 d=0.0621307 t=3096
fan guan 	飯館	c=1 d=0.481909 t=3096
fan hui 	返回	c=1 d=0.402524 t=3096
fan ye 	翻頁	c=5 d=1.92578 t=3096
fan zao 	煩躁	c=1 d=0.0665368 t=3096
fan zheng 	反正	c=1 d=0.798516 t=3096
fang 	放	c=3 d=0.0239205 t=3096
fang dong 	房東	c=1 d=0.0850088 t=3096
fang fa 	方法	c=2 d=0.660973 t=3096
fang qi 	放棄	c=3 d=0.803267 t=3096
fang zai 	放在	c=1 d=0.0773047 t=3096
fang zi 	房子	c=5 d=0.357452 t=3096
fei chang 	非常	c=5 d=1.36972 t=3096
fei guan fang 	非官方	c=1 d=0.726149 t=3096
fei kuai 	飛快	c=1 d=0.00704808 t=3096
